S_b,S_d,time
0.5,1.9597,21.6
 0.5,1.9331,21.6
 0.5,1.2985,21.6
 0.5,1.6005,21.6
 0.5,1.6411,21.6
 0.5,1.9534,21.6
 0.5,1.858,21.6
 1.0,1.0,21.6
 0.5,1.6971,21.6
 0.5,2.0236,21.6
 0.5,1.8473,21.6
 0.5,1.6632,21.6
 1.0,1.0,21.6
 0.5,1.9644,21.6
 0.5,1.6695,21.6
 0.5,1.9708,21.6
 0.5,1.676,21.6
 1.0,1.0,21.6
 0.5,1.9981,21.6
 0.5,1.6525,21.6
 0.5,1.817,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,2.0135,21.6
 0.5,2.0676,21.6
 0.5,1.95,21.6
 1.0,1.0,21.6
 0.5,2.2649,21.6
 0.5,1.7621,21.6
 0.5,2.0028,21.6
 0.5,1.7469,21.6
 0.5,1.9586,21.6
 0.5,1.6642,21.6
 0.5,1.9979,21.6
 0.5,2.001,21.6
 1.0,1.0,21.6
 0.5,2.0364,21.6
 0.5,1.786,21.6
 0.5,2.0488,21.6
 0.5,1.9609,21.6
 0.5,1.9607,21.6
 0.5,1.8485,21.6
 0.5,1.702,21.6
 0.5,1.4683,21.6
 0.5,1.6143,21.6
 0.5,1.9834,21.6
 0.5,1.6802,21.6
 0.5,2.2623,21.6
 0.5,2.0772,21.6
 0.5,1.9485,21.6
 0.5,1.7404,21.6
 1.0,1.0,21.6
 0.5,1.6816,21.6
 0.5,2.0437,21.6
 0.5,1.7802,21.6
 1.0,1.0,21.6
 0.5,1.817,21.6
 0.5,1.6772,21.6
 0.5,1.6722,21.6
 0.5,1.9697,21.6
 1.0,1.0,21.6
 0.5,1.9177,21.6
 0.5,1.6688,21.6
 0.5,2.0414,21.6
 0.5,1.9479,21.6
 0.5,1.7468,21.6
 0.5,1.9003,21.6
 1.0,1.0,21.6
 0.5,1.5997,21.6
 0.5,1.5503,21.6
 0.5,1.9145,21.6
 1.0,1.0,21.6
 0.5,1.7645,21.6
 0.5,1.9819,21.6
 0.5,1.894,21.6
 0.5,1.9631,21.6
 0.5,2.0176,21.6
 0.5,1.9615,21.6
 0.5,2.1581,21.6
 0.5,1.7201,21.6
 1.0,1.0,21.6
 0.5,2.2242,21.6
 0.5,1.619,21.6
 0.5,1.5291,21.6
 0.5,2.0093,21.6
 0.5,2.2259,21.6
 0.5,1.7156,21.6
 0.5,1.5804,21.6
 0.5,1.9413,21.6
 0.5,1.8015,21.6
 0.5,2.2809,21.6
 0.5,1.8359,21.6
 0.5,1.7319,21.6
 0.5,1.8177,21.6
 0.5,2.0503,21.6
 0.5,1.6095,21.6
 0.5,1.9627,21.6
 0.5,2.0388,21.6
 0.5,2.1537,21.6
 0.5,2.2911,21.6
 0.5,2.1707,21.6
 0.5,2.0804,21.6
 0.5,1.5577,21.6
 0.5,1.2947,21.6
 0.5,1.8008,21.6
 0.5,1.5352,21.6
 1.0,1.0,21.6
 0.5,1.6623,21.6
 0.5,1.6595,21.6
 0.5,1.9363,21.6
 0.5,1.6687,21.6
 0.5,2.1585,21.6
 0.5,1.7272,21.6
 0.5,1.954,21.6
 1.0,1.0,21.6
 0.5,1.9711,21.6
 0.5,1.8712,21.6
 0.5,1.9384,21.6
 0.5,2.1971,21.6
 0.5,1.8533,21.6
 0.5,1.627,21.6
 0.5,1.8074,21.6
 0.5,1.6036,21.6
 1.0,1.0,21.6
 0.5,1.7715,21.6
 0.5,1.9136,21.6
 0.5,1.9551,21.6
 1.0,1.0,21.6
 0.5,2.1879,21.6
 0.5,1.8556,21.6
 0.5,1.7681,21.6
 0.5,2.09,21.6
 0.5,1.9454,21.6
 0.5,1.814,21.6
 0.5,2.0074,21.6
 0.5,2.1573,21.6
 0.5,1.6902,21.6
 0.5,1.6124,21.6
 0.5,1.8343,21.6
 0.5,1.7094,21.6
 1.0,1.0,21.6
 0.5,1.6948,21.6
 0.5,1.9444,21.6
 0.5,2.2286,21.6
 1.0,1.0,21.6
 0.5,2.2926,21.6
 0.5,1.8566,21.6
 0.5,1.8276,21.6
 0.5,1.6775,21.6
 0.5,1.6702,21.6
 0.5,2.0388,21.6
 0.5,1.7026,21.6
 0.5,1.7829,21.6
 0.5,1.6873,21.6
 1.0,1.0,21.6
 0.5,1.9063,21.6
 0.5,2.0915,21.6
 0.5,1.6346,21.6
 0.5,1.9754,21.6
 0.5,2.055,21.6
 0.5,1.5979,21.6
 0.5,2.1662,21.6
 1.0,1.0,21.6
 0.5,1.4095,21.6
 1.0,1.0,21.6
 0.5,2.1187,21.6
 0.5,1.4917,21.6
 0.5,1.5789,21.6
 0.5,2.2008,21.6
 0.5,1.8542,21.6
 0.5,1.8676,21.6
 0.5,1.8134,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,2.2854,21.6
 0.5,2.0355,21.6
 0.5,1.8189,21.6
 0.5,1.7026,21.6
 0.5,1.9997,21.6
 0.5,1.9915,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,2.0756,21.6
 0.5,1.6844,21.6
 0.5,1.844,21.6
 0.5,1.8243,21.6
 0.5,1.9645,21.6
 0.5,1.8015,21.6
 0.5,2.0519,21.6
 0.5,1.6668,21.6
 0.5,1.791,21.6
 0.5,2.041,21.6
 0.5,1.8421,21.6
 0.5,1.6852,21.6
 0.5,1.6004,21.6
 0.5,1.9123,21.6
 0.5,2.2536,21.6
 1.0,1.0,21.6
 0.5,1.6846,21.6
 0.5,2.1133,21.6
 0.5,1.4738,21.6
 0.5,2.0486,21.6
 1.0,1.0,21.6
 0.5,1.8326,21.6
 0.5,2.1638,21.6
 0.5,1.7595,21.6
 0.5,1.5583,21.6
 1.0,1.0,21.6
 0.5,1.8668,21.6
 0.5,2.0685,21.6
 1.0,1.0,21.6
 0.5,2.2603,21.6
 0.5,1.9661,21.6
 1.0,1.0,21.6
 0.5,1.9034,21.6
 1.0,1.0,21.6
 0.5,1.6566,21.6
 0.5,2.0306,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,1.8591,21.6
 0.5,2.1152,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,1.5904,21.6
 0.5,1.8819,21.6
 0.5,1.9458,21.6
 0.5,1.6663,21.6
 0.5,1.5889,21.6
 0.5,2.0068,21.6
 0.5,2.0828,21.6
 0.5,1.5989,21.6
 0.5,1.7661,21.6
 0.5,2.0621,21.6
 0.5,1.8341,21.6
 0.5,2.0081,21.6
 0.5,1.9439,21.6
 0.5,1.8237,21.6
 0.5,1.652,21.6
 0.5,1.8919,21.6
 0.5,1.6536,21.6
 0.5,2.062,21.6
 0.5,2.0994,21.6
 0.5,1.7366,21.6
 0.5,2.018,21.6
 0.5,2.1311,21.6
 0.5,1.6954,21.6
 0.5,1.822,21.6
 0.5,1.5322,21.6
 1.0,1.0,21.6
 0.5,2.0589,21.6
 0.5,1.8231,21.6
 0.5,1.5346,21.6
 0.5,2.0333,21.6
 0.5,1.5523,21.6
 0.5,1.9415,21.6
 0.5,1.8334,21.6
 0.5,1.9434,21.6
 0.5,1.7898,21.6
 0.5,1.9614,21.6
 1.0,1.0,21.6
 0.5,1.842,21.6
 0.5,1.968,21.6
 0.5,1.8079,21.6
 0.5,2.1588,21.6
 1.0,1.0,21.6
 0.5,2.2807,21.6
 0.5,1.4758,21.6
 0.5,1.6524,21.6
 1.0,1.0,21.6
 0.5,2.1004,21.6
 1.0,1.0,21.6
 0.5,1.6279,21.6
 0.5,1.9279,21.6
 0.5,1.6644,21.6
 0.5,1.9365,21.6
 0.5,1.6805,21.6
 0.5,1.8879,21.6
 0.5,1.742,21.6
 0.5,2.083,21.6
 0.5,2.1824,21.6
 0.5,2.2587,21.6
 0.5,1.938,21.6
 1.0,1.0,21.6
 0.5,2.0391,21.6
 1.0,1.0,21.6
 0.5,2.2359,21.6
 0.5,1.9361,21.6
 0.5,2.0439,21.6
 0.5,2.2799,21.6
 0.5,2.0952,21.6
 0.5,2.0214,21.6
 0.5,1.8846,21.6
 0.5,1.9442,21.6
 0.5,1.7231,21.6
 0.5,2.1847,21.6
 1.0,1.0,21.6
 0.5,1.6663,21.6
 0.5,1.7401,21.6
 0.5,1.4474,21.6
 1.0,1.0,21.6
 0.5,1.6193,21.6
 0.5,1.6499,21.6
 1.0,1.0,21.6
 0.5,1.7247,21.6
 0.5,1.9597,21.6
 0.5,1.7254,21.6
 0.5,1.9184,21.6
 0.5,1.8864,21.6
 0.5,1.8807,21.6
 0.5,2.1198,21.6
 0.5,1.744,21.6
 0.5,1.962,21.6
 0.5,1.5886,21.6
 0.5,1.3758,21.6
 1.0,1.0,21.6
 0.5,2.2775,21.6
 0.5,2.1858,21.6
 0.5,2.0659,21.6
 0.5,1.9746,21.6
 0.5,1.778,21.6
 0.5,2.0797,21.6
 0.5,2.2408,21.6
 0.5,1.6501,21.6
 1.0,1.0,21.6
 1.0,1.0,21.6
 0.5,1.8378,21.6
 0.5,2.0381,21.6
 0.5,1.7041,21.6
 0.5,1.6785,21.6
 0.5,1.9631,21.6
 0.5,2.109,21.6
 0.5,1.6878,21.6
 0.5,2.2833,21.6
 0.5,2.0762,21.6
 0.5,2.0198,21.6
 0.5,2.2301,21.6
 0.5,2.0266,21.6
 0.5,1.9523,21.6
 1.0,1.0,21.6
 0.5,1.9717,21.6
 0.5,1.8811,21.6
 0.5,1.8479,21.6
 0.5,2.1894,21.6
 0.5,1.5373,21.6
 0.5,1.9245,21.6
 1.0,1.0,21.6
 0.5,2.175,21.6
 0.5,1.8404,21.6
 0.5,1.9688,21.6
 0.5,1.8133,21.6
 0.5,1.7613,21.6
 0.5,1.8895,21.6
 0.5,2.1407,21.6
 1.0,1.0,21.6
 0.5,2.0081,21.6
 1.0,1.0,21.6
 0.5,1.9881,21.6
 0.5,1.9035,21.6
