S_b,S_d,time
1.0,1.0,18.0
 0.5,1.7067,18.0
 0.5,1.8043,18.0
 0.5,1.8045,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6869,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8539,18.0
 0.5,1.8331,18.0
 0.5,1.9237,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7778,18.0
 0.5,1.7069,18.0
 0.5,1.8735,18.0
 1.0,1.0,18.0
 0.5,1.9242,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8329,18.0
 1.0,1.0,18.0
 0.5,1.9607,18.0
 0.5,1.9007,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6818,18.0
 0.5,1.9074,18.0
 0.5,1.9375,18.0
 1.0,1.0,18.0
 0.5,1.6446,18.0
 1.0,1.0,18.0
 0.5,1.8678,18.0
 1.0,1.0,18.0
 0.5,1.9425,18.0
 1.0,1.0,18.0
 0.5,1.4071,18.0
 1.0,1.0,18.0
 0.5,1.6645,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8322,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9483,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9376,18.0
 1.0,1.0,18.0
 0.5,1.7347,18.0
 0.5,1.8047,18.0
 0.5,1.5773,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6539,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.986,18.0
 0.5,1.9798,18.0
 0.5,1.8955,18.0
 0.5,1.9769,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6037,18.0
 1.0,1.0,18.0
 0.5,1.9053,18.0
 1.0,1.0,18.0
 0.5,1.9741,18.0
 0.5,1.5026,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8567,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8611,18.0
 1.0,1.0,18.0
 0.5,1.6032,18.0
 0.5,1.9067,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6655,18.0
 1.0,1.0,18.0
 0.5,1.6091,18.0
 0.5,1.7509,18.0
 1.0,1.0,18.0
 0.5,1.7613,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9534,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6121,18.0
 1.0,1.0,18.0
 0.5,1.731,18.0
 1.0,1.0,18.0
 0.5,1.8001,18.0
 1.0,1.0,18.0
 0.5,1.9917,18.0
 0.5,1.6695,18.0
 0.5,1.9818,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8759,18.0
 1.0,1.0,18.0
 0.5,1.7514,18.0
 0.5,1.9076,18.0
 0.5,1.7147,18.0
 1.0,1.0,18.0
 0.5,1.9344,18.0
 0.5,1.8823,18.0
 1.0,1.0,18.0
 0.5,1.9781,18.0
 0.5,1.9306,18.0
 0.5,1.7837,18.0
 1.0,1.0,18.0
 0.5,1.7561,18.0
 0.5,1.3579,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7118,18.0
 1.0,1.0,18.0
 0.5,1.9253,18.0
 0.5,1.6952,18.0
 0.5,1.939,18.0
 0.5,1.8015,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8221,18.0
 0.5,1.7013,18.0
 0.5,1.9623,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5087,18.0
 0.5,1.8867,18.0
 0.5,1.6129,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8914,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.917,18.0
 1.0,1.0,18.0
 0.5,1.9378,18.0
 0.5,1.928,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8549,18.0
 0.5,1.7154,18.0
 1.0,1.0,18.0
 0.5,1.7467,18.0
 0.5,1.889,18.0
 0.5,1.9131,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8822,18.0
 0.5,1.5637,18.0
 0.5,1.9395,18.0
 0.5,1.6273,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8026,18.0
 1.0,1.0,18.0
 0.5,1.7176,18.0
 0.5,1.8272,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9879,18.0
 1.0,1.0,18.0
 0.5,1.4744,18.0
 0.5,1.9827,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8577,18.0
 1.0,1.0,18.0
 0.5,1.6201,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9243,18.0
 0.5,1.8542,18.0
 1.0,1.0,18.0
 0.5,1.678,18.0
 0.5,1.9213,18.0
 0.5,1.8477,18.0
 0.5,1.723,18.0
 1.0,1.0,18.0
 0.5,1.5702,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8619,18.0
 0.5,1.8984,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9654,18.0
 0.5,1.9924,18.0
 0.5,1.9104,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9206,18.0
 0.5,1.7782,18.0
 1.0,1.0,18.0
 0.5,1.8197,18.0
 0.5,1.9911,18.0
 0.5,1.9636,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.773,18.0
 1.0,1.0,18.0
 0.5,1.6854,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7176,18.0
 1.0,1.0,18.0
 0.5,1.8133,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7412,18.0
 0.5,1.668,18.0
 0.5,1.9081,18.0
 0.5,1.9082,18.0
 1.0,1.0,18.0
 0.5,1.5352,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9193,18.0
 1.0,1.0,18.0
 0.5,1.9859,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6316,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.999,18.0
 0.5,1.9151,18.0
 0.5,1.9279,18.0
 0.5,1.4977,18.0
 0.5,1.8931,18.0
 0.5,1.9547,18.0
 1.0,1.0,18.0
 0.5,1.8634,18.0
 0.5,1.8084,18.0
 1.0,1.0,18.0
 0.5,1.9843,18.0
 0.5,1.6989,18.0
 0.5,1.9277,18.0
 0.5,1.7401,18.0
 0.5,1.7913,18.0
 0.5,1.8223,18.0
 0.5,1.8609,18.0
 0.5,1.946,18.0
 0.5,1.572,18.0
 0.5,1.6904,18.0
 1.0,1.0,18.0
 0.5,1.7682,18.0
 1.0,1.0,18.0
 0.5,1.8442,18.0
 0.5,1.8355,18.0
 1.0,1.0,18.0
 0.5,1.9226,18.0
 0.5,1.9935,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7932,18.0
 0.5,1.9372,18.0
 1.0,1.0,18.0
 0.5,1.7768,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8957,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9424,18.0
 0.5,1.7138,18.0
 1.0,1.0,18.0
 0.5,1.915,18.0
 1.0,1.0,18.0
 0.5,1.6922,18.0
 0.5,1.8432,18.0
 0.5,1.6693,18.0
 1.0,1.0,18.0
 0.5,1.648,18.0
 0.5,1.7497,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9294,18.0
 0.5,1.8249,18.0
 0.5,1.8265,18.0
 0.5,1.8732,18.0
 1.0,1.0,18.0
 0.5,1.8992,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8825,18.0
