S_b,S_d,gr,cycletime,time
1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 0.72,2.215,0.0385,29.1824,12.6
 1.44,1.44,0.0385,0.0,12.6
 0.72,2.3306,0.0385,30.5041,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 0.72,2.2348,0.0385,29.4145,12.6
 1.44,1.44,0.0385,0.0,12.6
 0.72,2.1697,0.0385,28.6459,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 0.72,2.1629,0.0385,28.565,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
 1.44,1.44,0.0385,0.0,12.6
