S_b,S_d,time
0.5,1.6391,32.4
 0.5,2.6979,32.4
 0.5,1.8494,32.4
 0.5,2.5567,32.4
 0.5,1.814,32.4
 0.5,1.9238,32.4
 0.5,2.2827,32.4
 0.9865,1.3384,32.4
 0.5,1.9147,32.4
 0.5,1.8829,32.4
 0.5,1.9978,32.4
 0.5,2.1081,32.4
 0.5,2.2208,32.4
 1.0199,1.5213,32.4
 0.8056,1.6621,32.4
 0.5,2.4777,32.4
 0.5,1.7235,32.4
 0.5,2.0071,32.4
 0.5,2.6089,32.4
 0.5,1.8704,32.4
 0.8373,1.6938,32.4
 0.5,1.9175,32.4
 0.5,2.2032,32.4
 0.5,2.0631,32.4
 0.5,1.6312,32.4
 0.9338,1.657,32.4
 0.8934,1.671,32.4
 0.5,1.7029,32.4
 0.5,2.0558,32.4
 0.5,1.9266,32.4
 0.5,1.7498,32.4
 0.8691,1.5022,32.4
 0.5,2.0849,32.4
 0.5,2.5723,32.4
 0.5,1.9719,32.4
 0.8747,1.6439,32.4
 0.5,1.846,32.4
 0.5,1.8001,32.4
 0.5,2.325,32.4
 0.8035,1.5649,32.4
 0.5,2.3195,32.4
 0.5,1.6689,32.4
 0.5,1.8185,32.4
 0.5,2.56,32.4
 0.5,1.5181,32.4
 0.5,2.282,32.4
 0.5,2.3467,32.4
 0.5,2.1581,32.4
 0.5,3.2521,32.4
 0.5,1.5514,32.4
 0.7162,1.6968,32.4
 0.8778,1.4227,32.4
 0.5,2.4149,32.4
 0.5,2.4446,32.4
 0.5,2.2066,32.4
 0.5,2.2138,32.4
 0.5,1.8062,32.4
 0.5,1.877,32.4
 0.958,1.516,32.4
 0.5,2.3306,32.4
 0.5,1.7398,32.4
 0.5,2.4245,32.4
 0.5,1.9985,32.4
 0.5,2.6518,32.4
 0.5,1.9818,32.4
 0.5,1.7485,32.4
 0.8826,1.7058,32.4
 0.5,2.1688,32.4
 0.5,2.0442,32.4
 0.5,2.1407,32.4
 0.5,2.7623,32.4
 0.5,2.2965,32.4
 0.5,1.7141,32.4
 0.5,1.6933,32.4
 0.7446,1.6673,32.4
 0.5,2.1141,32.4
 0.5,2.194,32.4
 0.5,1.6742,32.4
 0.5,2.7617,32.4
 0.7906,1.7079,32.4
 0.5,2.2087,32.4
 0.5,2.2801,32.4
 0.5,1.8933,32.4
 0.5,2.0878,32.4
 0.5,1.9967,32.4
 0.5,1.9676,32.4
 0.5,2.1374,32.4
 0.5,2.4533,32.4
 0.5,1.6959,32.4
 0.5,1.5651,32.4
 0.5,2.0071,32.4
 0.5,2.5954,32.4
 0.7504,1.3803,32.4
 0.5,1.8596,32.4
 0.8584,1.7097,32.4
 0.5,1.8966,32.4
 0.5,2.4649,32.4
 0.5,2.4305,32.4
 0.8275,1.7402,32.4
 0.5,2.317,32.4
 0.5,1.9928,32.4
 0.5,3.0987,32.4
 0.9008,1.733,32.4
 0.851,1.6035,32.4
 0.5,2.0653,32.4
 0.7368,1.4639,32.4
 0.5,2.1289,32.4
 0.5,1.9477,32.4
 1.1137,1.5727,32.4
 0.8792,1.4669,32.4
 0.5,1.8308,32.4
 0.5,2.4666,32.4
 0.5,2.6096,32.4
 0.5,2.0838,32.4
 0.5,2.353,32.4
 0.5,2.263,32.4
 0.5,1.8104,32.4
 0.5,2.0346,32.4
 0.5,2.58,32.4
 0.5,2.2477,32.4
 0.9472,1.6498,32.4
 0.5,1.9515,32.4
 1.161,1.6883,32.4
 0.5,2.6104,32.4
 0.5,1.5892,32.4
 0.5,2.251,32.4
 0.5,2.0385,32.4
 0.5,2.0731,32.4
 0.5,2.351,32.4
 0.5,1.9874,32.4
 1.0789,1.6195,32.4
 0.5,2.7405,32.4
 0.5,1.611,32.4
 0.7305,1.6572,32.4
 0.5,2.0094,32.4
 0.8774,1.7339,32.4
 0.5,1.8676,32.4
 0.5,2.5402,32.4
 0.5,1.5965,32.4
 0.5,2.2255,32.4
 0.5,2.2544,32.4
 0.5,2.5357,32.4
 0.8424,1.4654,32.4
 0.793,1.6477,32.4
 0.5,1.8746,32.4
 0.5,2.1314,32.4
 0.5,2.0518,32.4
 0.5,1.404,32.4
 0.5,2.0498,32.4
 0.5,2.0423,32.4
 0.5,1.8833,32.4
 0.5,2.1452,32.4
 0.5,2.5938,32.4
 0.5,2.0438,32.4
 0.5,2.0,32.4
 1.2441,1.7301,32.4
 0.5,2.0112,32.4
 0.5,1.7488,32.4
 0.8526,1.726,32.4
 0.5,2.2281,32.4
 1.1092,1.6545,32.4
 0.5,1.7224,32.4
 0.8461,1.4771,32.4
 0.9513,1.3405,32.4
 0.5,1.7485,32.4
 0.5,2.1136,32.4
 0.8468,1.4333,32.4
 0.5,2.3606,32.4
 0.5,1.7646,32.4
 0.8242,1.4508,32.4
 0.5,2.2814,32.4
 0.5,1.9833,32.4
 0.5,2.0517,32.4
 0.5,2.309,32.4
 0.5,1.871,32.4
 0.5,1.9334,32.4
 0.5,2.2919,32.4
 0.7653,1.5723,32.4
 0.5,2.2564,32.4
 0.5,1.8092,32.4
 0.5,2.082,32.4
 0.9403,1.6403,32.4
 0.9844,1.5265,32.4
 0.5,1.5323,32.4
 0.5,1.7437,32.4
 0.5,1.7693,32.4
 0.5,1.8824,32.4
 0.9702,1.6318,32.4
 0.5,1.8014,32.4
 0.8315,1.3543,32.4
 0.5,2.2277,32.4
 0.9605,1.5892,32.4
 0.8655,1.3921,32.4
 0.5,2.1013,32.4
 0.5,2.1207,32.4
 0.5,1.7504,32.4
 0.9571,1.677,32.4
 0.5,1.8983,32.4
 0.5,1.6901,32.4
 0.5,2.0691,32.4
 0.5,1.7389,32.4
 1.0833,1.6353,32.4
 0.9505,1.6407,32.4
 0.5,2.4271,32.4
 0.5,1.8423,32.4
 1.1055,1.6531,32.4
 0.5,2.1539,32.4
 0.7951,1.6689,32.4
 0.5,1.7662,32.4
 0.5,2.7805,32.4
 0.5,2.4051,32.4
 1.105,1.5214,32.4
 0.5,2.273,32.4
 0.5,1.9709,32.4
 0.5,1.735,32.4
 0.5,3.0687,32.4
 0.5,1.5778,32.4
 0.5,1.9684,32.4
 0.9239,1.7279,32.4
 0.5,2.3015,32.4
