S_b,S_d,gr,cycletime,time
1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9782,0.0385,35.7165,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8125,0.0385,33.4446,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9231,0.0385,34.9819,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8888,0.0385,34.5151,18.0
 0.5,1.9296,0.0385,35.0699,18.0
 0.5,1.8938,0.0385,34.5838,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9836,0.0385,35.7866,18.0
 0.5,1.9782,0.0385,35.7157,18.0
 0.5,1.7322,0.0385,32.2673,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5264,0.0385,28.983,18.0
 0.5,1.8604,0.0385,34.1224,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7753,0.0385,32.9064,18.0
 0.5,1.9607,0.0385,35.4859,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8149,0.0385,33.4788,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6155,0.0385,30.4572,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9468,0.0385,35.301,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7196,0.0385,32.0777,18.0
 0.5,1.7903,0.0385,33.1243,18.0
 0.5,1.5387,0.0385,29.1912,18.0
 0.5,1.5679,0.0385,29.6798,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9634,0.0385,35.521,18.0
 0.5,1.843,0.0385,33.8772,18.0
 0.5,1.8635,0.0385,34.1644,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5912,0.0385,30.0629,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.682,0.0385,31.5037,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9001,0.0385,34.6694,18.0
 0.5,1.8018,0.0385,33.2904,18.0
 0.5,1.9827,0.0385,35.7747,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7824,0.0385,33.009,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9701,0.0385,35.6091,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8041,0.0385,33.3231,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9064,0.0385,34.7566,18.0
 0.5,1.7622,0.0385,32.7137,18.0
 0.5,1.9627,0.0385,35.5121,18.0
 0.5,1.4856,0.0385,28.2799,18.0
 0.5,1.7672,0.0385,32.7869,18.0
 0.5,1.8117,0.0385,33.4323,18.0
 0.5,1.8557,0.0385,34.0562,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7358,0.0385,32.3211,18.0
 0.5,1.8807,0.0385,34.4037,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9929,0.0385,35.9087,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.744,0.0385,32.444,18.0
 0.5,1.614,0.0385,30.4317,18.0
 0.5,1.9443,0.0385,35.267,18.0
 0.5,1.8363,0.0385,33.7832,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7431,0.0385,32.4309,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7983,0.0385,33.2396,18.0
 0.5,1.9947,0.0385,35.9317,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7649,0.0385,32.7533,18.0
 0.5,1.7996,0.0385,33.2585,18.0
 0.5,1.9778,0.0385,35.7113,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8395,0.0385,33.8285,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7994,0.0385,33.2559,18.0
 0.5,1.7672,0.0385,32.7865,18.0
 0.5,1.6631,0.0385,31.2101,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6979,0.0385,31.7476,18.0
 0.5,1.6943,0.0385,31.6932,18.0
 0.5,1.7283,0.0385,32.2084,18.0
 0.5,1.7043,0.0385,31.8459,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.786,0.0385,33.0624,18.0
 0.5,1.9923,0.0385,35.9007,18.0
 0.5,1.7798,0.0385,32.9722,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9423,0.0385,35.2405,18.0
 0.5,1.9695,0.0385,35.6021,18.0
