S_b,S_d,gr,cycletime,time
0.5,2.055,0.0385,36.7052,19.8
 0.5,1.83,0.0385,33.6941,19.8
 0.5,2.045,0.0385,36.5779,19.8
 0.5,1.8891,0.0385,34.5193,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7975,0.0385,33.2278,19.8
 0.5,1.7042,0.0385,31.8438,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7975,0.0385,33.2292,19.8
 0.5,1.7884,0.0385,33.097,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0942,0.0385,37.1957,19.8
 0.5,1.8751,0.0385,34.3254,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0288,0.0385,36.3719,19.8
 0.5,1.456,0.0385,27.7562,19.8
 0.5,2.1381,0.0385,37.7349,19.8
 0.5,1.5793,0.0385,29.8674,19.8
 0.5,2.0851,0.0385,37.0828,19.8
 0.5,1.6034,0.0385,30.262,19.8
 0.5,1.7179,0.0385,32.0517,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8735,0.0385,34.3038,19.8
 0.5,1.9611,0.0385,35.4911,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0853,0.0385,37.0847,19.8
 0.5,1.5021,0.0385,28.5657,19.8
 0.5,1.3822,0.0385,26.4071,19.8
 0.5,1.8893,0.0385,34.5218,19.8
 0.5,1.9413,0.0385,35.2272,19.8
 0.5,1.5366,0.0385,29.156,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9666,0.0385,35.5636,19.8
 0.5,1.6478,0.0385,30.9698,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0322,0.0385,36.4154,19.8
 0.5,2.0843,0.0385,37.0726,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8211,0.0385,33.5673,19.8
 0.5,2.1137,0.0385,37.4364,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7287,0.0385,32.2152,19.8
 0.5,1.432,0.0385,27.326,19.8
 0.5,1.6868,0.0385,31.5773,19.8
 0.5,1.6009,0.0385,30.2207,19.8
 0.5,1.7203,0.0385,32.0887,19.8
 0.5,1.799,0.0385,33.2503,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8505,0.0385,33.9825,19.8
 0.5,1.6532,0.0385,31.0557,19.8
 0.5,1.7265,0.0385,32.182,19.8
 0.5,1.6192,0.0385,30.5156,19.8
 0.5,1.8597,0.0385,34.1125,19.8
 0.5,2.1183,0.0385,37.4927,19.8
 0.5,2.0252,0.0385,36.3252,19.8
 0.5,1.6508,0.0385,31.0173,19.8
 0.5,1.9186,0.0385,34.9216,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4333,0.0385,27.3494,19.8
 0.5,1.907,0.0385,34.764,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0641,0.0385,36.8197,19.8
 0.5,1.3828,0.0385,26.4173,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6723,0.0385,31.3533,19.8
 0.5,1.6633,0.0385,31.2135,19.8
 0.5,1.9356,0.0385,35.1505,19.8
 0.5,1.6614,0.0385,31.184,19.8
 0.5,1.6792,0.0385,31.4606,19.8
 0.5,1.9463,0.0385,35.2932,19.8
 0.5,1.5101,0.0385,28.7044,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9069,0.0385,34.7621,19.8
 0.5,2.0295,0.0385,36.3814,19.8
 0.5,1.4502,0.0385,27.6532,19.8
 0.5,1.6782,0.0385,31.4451,19.8
 0.5,1.8069,0.0385,33.3638,19.8
 0.5,1.9798,0.0385,35.7369,19.8
 0.5,1.5928,0.0385,30.0892,19.8
 0.5,1.7162,0.0385,32.0266,19.8
 0.5,1.9445,0.0385,35.2697,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0279,0.0385,36.3601,19.8
 0.5,1.6633,0.0385,31.2129,19.8
 0.5,1.5841,0.0385,29.9471,19.8
 0.5,2.0144,0.0385,36.1875,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8324,0.0385,33.7276,19.8
 0.5,1.7563,0.0385,32.6266,19.8
 0.5,1.9287,0.0385,35.0574,19.8
 0.5,1.6676,0.0385,31.28,19.8
 0.5,1.6944,0.0385,31.6946,19.8
 0.5,1.511,0.0385,28.7199,19.8
 0.5,1.7549,0.0385,32.6052,19.8
 0.5,2.0232,0.0385,36.3002,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.922,0.0385,34.9681,19.8
 0.5,2.1009,0.0385,37.2783,19.8
 0.5,1.7502,0.0385,32.5362,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.594,0.0385,30.1086,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9982,0.0385,35.9768,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6824,0.0385,31.5096,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9626,0.0385,35.5098,19.8
 0.5,1.5414,0.0385,29.2371,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0487,0.0385,36.6248,19.8
 0.5,1.8185,0.0385,33.5308,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4164,0.0385,27.0412,19.8
 0.5,1.7052,0.0385,31.859,19.8
 0.5,2.0611,0.0385,36.7817,19.8
 0.5,1.9163,0.0385,34.8905,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9414,0.0385,35.2281,19.8
 0.5,1.4894,0.0385,28.3454,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8192,0.0385,33.5408,19.8
 0.5,1.7214,0.0385,32.1047,19.8
 0.5,1.7269,0.0385,32.1881,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7537,0.0385,32.5886,19.8
 0.5,2.093,0.0385,37.181,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0669,0.0385,36.855,19.8
 0.5,2.0007,0.0385,36.0095,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.937,0.0385,35.1696,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8091,0.0385,33.3958,19.8
 0.5,1.847,0.0385,33.9337,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.08,0.0385,37.0195,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4769,0.0385,28.1266,19.8
 0.5,1.7259,0.0385,32.1732,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8836,0.0385,34.444,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.081,0.0385,37.0319,19.8
 0.5,1.9027,0.0385,34.7055,19.8
 0.5,1.4515,0.0385,27.6772,19.8
 0.5,1.7304,0.0385,32.2412,19.8
 0.5,2.1132,0.0385,37.4302,19.8
 0.5,1.9763,0.0385,35.6905,19.8
 0.5,2.0571,0.0385,36.732,19.8
 0.5,1.9838,0.0385,35.79,19.8
 0.5,2.0958,0.0385,37.2151,19.8
 0.5,2.0436,0.0385,36.5601,19.8
 0.5,1.8914,0.0385,34.5512,19.8
 0.5,1.4124,0.0385,26.9675,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9835,0.0385,35.785,19.8
 0.5,1.946,0.0385,35.2902,19.8
 0.5,1.93,0.0385,35.076,19.8
 0.5,1.9451,0.0385,35.2773,19.8
 0.5,1.9378,0.0385,35.1798,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7208,0.0385,32.0968,19.8
 0.5,1.7666,0.0385,32.7786,19.8
 0.5,1.6053,0.0385,30.2923,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8727,0.0385,34.2926,19.8
 0.5,1.8208,0.0385,33.5624,19.8
 0.5,1.749,0.0385,32.5184,19.8
 0.5,1.9108,0.0385,34.8164,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9443,0.0385,35.2666,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7156,0.0385,32.0169,19.8
 0.5,1.641,0.0385,30.8635,19.8
 0.5,1.7537,0.0385,32.5874,19.8
 0.5,1.4718,0.0385,28.0375,19.8
 0.5,1.9,0.0385,34.6686,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7728,0.0385,32.8687,19.8
 0.5,1.7644,0.0385,32.7462,19.8
 0.5,1.8484,0.0385,33.9541,19.8
 0.5,1.7209,0.0385,32.0973,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8764,0.0385,34.3447,19.8
 0.5,1.6893,0.0385,31.6162,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.1189,0.0385,37.4999,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.654,0.0385,31.0675,19.8
 0.5,1.7388,0.0385,32.3667,19.8
 0.5,1.5525,0.0385,29.4236,19.8
 0.5,1.8248,0.0385,33.62,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.3619,0.0385,26.0222,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0076,0.0385,36.0997,19.8
 0.5,2.0675,0.0385,36.8624,19.8
 0.5,2.131,0.0385,37.6483,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6544,0.0385,31.0742,19.8
 0.5,1.6743,0.0385,31.3851,19.8
 0.5,1.8901,0.0385,34.5334,19.8
 0.5,1.826,0.0385,33.6372,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7162,0.0385,32.0265,19.8
 0.5,1.4915,0.0385,28.3831,19.8
 0.5,1.6699,0.0385,31.317,19.8
 0.5,2.0517,0.0385,36.6638,19.8
 0.5,2.0456,0.0385,36.5865,19.8
 0.5,1.6878,0.0385,31.5931,19.8
 0.5,1.5057,0.0385,28.6293,19.8
 0.5,1.8866,0.0385,34.4844,19.8
 0.5,1.5294,0.0385,29.034,19.8
 0.5,2.1137,0.0385,37.437,19.8
 0.5,1.8771,0.0385,34.3535,19.8
 0.5,1.9082,0.0385,34.781,19.8
 0.5,1.5061,0.0385,28.6359,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0203,0.0385,36.2625,19.8
 0.5,1.5988,0.0385,30.1872,19.8
 0.5,1.7185,0.0385,32.0616,19.8
 0.5,1.8306,0.0385,33.703,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0932,0.0385,37.1828,19.8
 0.5,1.9537,0.0385,35.3921,19.8
 0.5,1.4357,0.0385,27.393,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6482,0.0385,30.9769,19.8
 0.5,1.6334,0.0385,30.743,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6314,0.0385,30.7103,19.8
 0.5,2.0345,0.0385,36.4448,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9893,0.0385,35.8608,19.8
 0.5,1.7902,0.0385,33.1226,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6328,0.0385,30.7335,19.8
