S_b,S_d,time
0.5,1.4486,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4454,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4845,14.4
 1.0,1.0,14.4
 0.5,1.6169,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7135,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6506,14.4
 1.0,1.0,14.4
 0.5,1.5967,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6473,14.4
 1.0,1.0,14.4
 0.5,1.6219,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4747,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7131,14.4
 1.0,1.0,14.4
 0.5,1.5354,14.4
 1.0,1.0,14.4
 0.5,1.639,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6425,14.4
 1.0,1.0,14.4
 0.5,1.5085,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.3568,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.2647,14.4
 1.0,1.0,14.4
 0.5,1.7242,14.4
 0.5,1.5117,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6402,14.4
 0.5,1.5354,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7301,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6855,14.4
 0.5,1.6128,14.4
 1.0,1.0,14.4
 0.5,1.5647,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6596,14.4
 1.0,1.0,14.4
 0.5,1.7277,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.628,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7134,14.4
 1.0,1.0,14.4
 0.5,1.557,14.4
 0.5,1.6955,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6155,14.4
 0.5,1.6955,14.4
 1.0,1.0,14.4
 0.5,1.6221,14.4
 0.5,1.7228,14.4
 0.5,1.6724,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4243,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7055,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6009,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5763,14.4
 1.0,1.0,14.4
 0.5,1.6217,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5774,14.4
 0.5,1.7234,14.4
 0.5,1.4691,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5289,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5872,14.4
 1.0,1.0,14.4
 0.5,1.547,14.4
 1.0,1.0,14.4
 0.5,1.6392,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7173,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7386,14.4
 1.0,1.0,14.4
 0.5,1.4637,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6059,14.4
 0.5,1.6663,14.4
 1.0,1.0,14.4
 0.5,1.3744,14.4
 0.5,1.6671,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7276,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.389,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7337,14.4
 0.5,1.7189,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.645,14.4
 0.5,1.5023,14.4
 0.5,1.4191,14.4
 0.5,1.5975,14.4
 1.0,1.0,14.4
 0.5,1.4748,14.4
 1.0,1.0,14.4
 0.5,1.5685,14.4
 0.5,1.3517,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5896,14.4
 1.0,1.0,14.4
 0.5,1.4472,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4941,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6291,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.7147,14.4
 0.5,1.6938,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5664,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6468,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.732,14.4
 0.5,1.708,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6418,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5929,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6042,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.4723,14.4
 0.5,1.4948,14.4
 0.5,1.707,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.5645,14.4
 0.5,1.6544,14.4
 1.0,1.0,14.4
 0.5,1.7401,14.4
 0.5,1.4812,14.4
 0.5,1.3652,14.4
 0.5,1.559,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.6688,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 0.5,1.3298,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
 1.0,1.0,14.4
