Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
0,0,0,nan,0.000,1.0,0.03850818,0.5
1,1,1,nan,0.000,1.0,0.03850818,0.5
2,2,2,nan,0.000,1.0,0.03850818,0.5
3,3,3,nan,0.000,1.0,0.03850818,0.5
4,4,4,nan,0.000,1.0,0.03850818,0.5
5,5,5,nan,0.000,1.0,0.03850818,0.5
6,6,6,nan,0.000,1.0,0.03850818,0.5
7,7,7,nan,0.000,1.0,0.03850818,0.5
8,8,8,nan,0.000,1.0,0.03850818,0.5
9,9,9,nan,0.000,1.0,0.03850818,0.5
10,10,10,nan,0.000,1.0,0.03850818,0.5
11,11,11,nan,0.000,1.0,0.03850818,0.5
12,12,12,nan,0.000,1.0,0.03850818,0.5
13,13,13,nan,0.000,1.0,0.03850818,0.5
14,14,14,nan,0.000,1.0,0.03850818,0.5
15,15,15,nan,0.000,1.0,0.03850818,0.5
16,16,16,nan,0.000,1.0,0.03850818,0.5
17,17,17,nan,0.000,1.0,0.03850818,0.5
18,18,18,nan,0.000,1.0,0.03850818,0.5
19,19,19,nan,0.000,1.0,0.03850818,0.5
20,20,20,nan,0.000,1.0,0.03850818,0.5
21,21,21,nan,0.000,1.0,0.03850818,0.5
22,22,22,nan,0.000,1.0,0.03850818,0.5
23,23,23,nan,0.000,1.0,0.03850818,0.5
24,24,24,nan,0.000,1.0,0.03850818,0.5
25,25,25,nan,0.000,1.0,0.03850818,0.5
26,26,26,nan,0.000,1.0,0.03850818,0.5
27,27,27,nan,0.000,1.0,0.03850818,0.5
28,28,28,nan,0.000,1.0,0.03850818,0.5
29,29,29,nan,0.000,1.0,0.03850818,0.5
30,30,30,nan,0.000,1.0,0.03850818,0.5
31,31,31,nan,0.000,1.0,0.03850818,0.5
32,32,32,nan,0.000,1.0,0.03850818,0.5
33,33,33,nan,0.000,1.0,0.03850818,0.5
34,34,34,nan,0.000,1.0,0.03850818,0.5
35,35,35,nan,0.000,1.0,0.03850818,0.5
36,36,36,nan,0.000,1.0,0.03850818,0.5
37,37,37,nan,0.000,1.0,0.03850818,0.5
38,38,38,nan,0.000,1.0,0.03850818,0.5
39,39,39,nan,0.000,1.0,0.03850818,0.5
40,40,40,nan,0.000,1.0,0.03850818,0.5
41,41,41,nan,0.000,1.0,0.03850818,0.5
42,42,42,nan,0.000,1.0,0.03850818,0.5
43,43,43,nan,0.000,1.0,0.03850818,0.5
44,44,44,nan,0.000,1.0,0.03850818,0.5
45,45,45,nan,0.000,1.0,0.03850818,0.5
46,46,46,nan,0.000,1.0,0.03850818,0.5
47,47,47,nan,0.000,1.0,0.03850818,0.5
48,48,48,nan,0.000,1.0,0.03850818,0.5
49,49,49,nan,0.000,1.0,0.03850818,0.5
45,45,45,1.0068120212938576,0.17629825380185485,0.50340601,0.03850818,0.5
45,50,45,1.0068120212938576,0.17629825380185485,0.50340601,0.03850818,0.5
11,11,11,1.0114155559035733,0.29476571170020394,0.50570778,0.03850818,0.5
11,51,11,1.0114155559035733,0.29476571170020394,0.50570778,0.03850818,0.5
7,7,7,1.0218657052263629,0.5617009454622242,0.51093285,0.03850818,0.5
7,52,7,1.0218657052263629,0.5617009454622242,0.51093285,0.03850818,0.5
15,15,15,1.0364250821470267,0.9290850334538728,0.51821254,0.03850818,0.5
15,53,15,1.0364250821470267,0.9290850334538728,0.51821254,0.03850818,0.5
28,28,28,1.0691124100175085,1.7354439137772837,0.53455621,0.03850818,0.5
28,54,28,1.0691124100175085,1.7354439137772837,0.53455621,0.03850818,0.5
46,46,46,1.0711013058607028,1.7837088861409685,0.53555065,0.03850818,0.5
46,55,46,1.0711013058607028,1.7837088861409685,0.53555065,0.03850818,0.5
21,21,21,1.127358462404373,3.11303371281673,0.56367923,0.03850818,0.5
21,56,21,1.127358462404373,3.11303371281673,0.56367923,0.03850818,0.5
27,27,27,1.131508889866317,3.2084625491189396,0.56575444,0.03850818,0.5
