S_b,S_d,time
3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,4.3923,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,4.8422,16.2
 1.5,5.2593,16.2
 1.5,5.5259,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.2508,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.3211,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,4.8695,16.2
 1.5,5.2588,16.2
 1.5,5.2048,16.2
 1.5,5.2233,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.0801,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.2977,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.0027,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.0903,16.2
 1.5,4.8546,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.4587,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.1518,16.2
 1.5,5.5341,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.3237,16.2
 1.5,4.9199,16.2
 1.5,5.371,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.435,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,5.1661,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 1.5,4.8152,16.2
 3.0,3.0,16.2
 1.5,5.1649,16.2
 1.5,5.446,16.2
 1.5,4.9147,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
 3.0,3.0,16.2
