S_b,S_d,time
1.5,4.9205,14.4
 1.5,4.5417,14.4
 3.0,3.0,14.4
 1.5,4.994,14.4
 1.5,4.3341,14.4
 1.5,3.7327,14.4
 3.0,3.0,14.4
 1.5,4.547,14.4
 1.5,5.2081,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.9538,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.7578,14.4
 3.0,3.0,14.4
 1.5,4.8291,14.4
 3.0,3.0,14.4
 1.5,5.1351,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,3.8255,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,5.1776,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.8768,14.4
 3.0,3.0,14.4
 1.5,5.0084,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.4061,14.4
 1.5,4.9217,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.6342,14.4
 3.0,3.0,14.4
 1.5,4.8214,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.4498,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.7445,14.4
 1.5,4.9509,14.4
 3.0,3.0,14.4
 1.5,5.072,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.472,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.4475,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
 1.5,4.3601,14.4
 3.0,3.0,14.4
 3.0,3.0,14.4
