S_b,S_d,gr,cycletime,time
1.5,6.4273,0.0385,37.7866,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8721,0.0385,35.4404,19.8
 1.5,5.7868,0.0385,35.0604,19.8
 1.5,5.6741,0.0385,34.5499,19.8
 1.5,6.1052,0.0385,36.4514,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9468,0.0385,35.769,19.8
 1.5,5.475,0.0385,33.6222,19.8
 1.5,6.1087,0.0385,36.4663,19.8
 1.5,5.9226,0.0385,35.6632,19.8
 1.5,6.2938,0.0385,37.2417,19.8
 1.5,6.2734,0.0385,37.1574,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.482,0.0385,33.6555,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9477,0.0385,35.7727,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.08,0.0385,36.344,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8078,0.0385,35.1548,19.8
 1.5,6.3002,0.0385,37.2679,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1968,0.0385,36.8381,19.8
 1.5,5.3468,0.0385,33.0071,19.8
 1.5,5.3345,0.0385,32.9472,19.8
 1.5,6.283,0.0385,37.1968,19.8
 1.5,5.1086,0.0385,31.8237,19.8
 1.5,5.4576,0.0385,33.5398,19.8
 1.5,6.2464,0.0385,37.0451,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2887,0.0385,37.2204,19.8
 1.5,4.8788,0.0385,30.6282,19.8
 1.5,5.0723,0.0385,31.6386,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8498,0.0385,35.3419,19.8
 1.5,5.5978,0.0385,34.1982,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.237,0.0385,32.4682,19.8
 1.5,5.8534,0.0385,35.3576,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.4876,0.0385,33.6819,19.8
 1.5,6.2515,0.0385,37.0663,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.048,0.0385,31.514,19.8
 1.5,5.7928,0.0385,35.0875,19.8
 1.5,5.8205,0.0385,35.2115,19.8
 1.5,5.9948,0.0385,35.9778,19.8
 1.5,5.9302,0.0385,35.6965,19.8
 1.5,5.0739,0.0385,31.6464,19.8
 1.5,5.84,0.0385,35.2982,19.8
 1.5,4.9294,0.0385,30.8963,19.8
 1.5,5.5129,0.0385,33.8013,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.6779,0.0385,29.5363,19.8
 1.5,5.2677,0.0385,32.6201,19.8
 1.5,4.8512,0.0385,30.4808,19.8
 1.5,5.7831,0.0385,35.0441,19.8
 1.5,4.9709,0.0385,31.1138,19.8
 1.5,5.7585,0.0385,34.9331,19.8
 1.5,4.5958,0.0385,29.0767,19.8
 1.5,6.0416,0.0385,36.1797,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.9828,0.0385,31.176,19.8
 1.5,6.0505,0.0385,36.2178,19.8
 1.5,5.4429,0.0385,33.4697,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5906,0.0385,34.1648,19.8
 1.5,5.7804,0.0385,35.0317,19.8
 1.5,6.0038,0.0385,36.0164,19.8
 1.5,5.2073,0.0385,32.3208,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3249,0.0385,32.9005,19.8
 1.5,5.7745,0.0385,35.0056,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1383,0.0385,36.5919,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0231,0.0385,36.1,19.8
 1.5,5.4418,0.0385,33.4644,19.8
 1.5,6.3285,0.0385,37.3842,19.8
 1.5,6.0437,0.0385,36.1887,19.8
 1.5,6.3792,0.0385,37.5914,19.8
 1.5,6.1997,0.0385,36.8504,19.8
 1.5,5.4145,0.0385,33.3336,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.4291,0.0385,33.4039,19.8
 1.5,5.8489,0.0385,35.338,19.8
 1.5,4.7573,0.0385,29.9735,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3924,0.0385,37.6452,19.8
 1.5,5.0999,0.0385,31.7792,19.8
 1.5,5.1972,0.0385,32.27,19.8
 1.5,6.0259,0.0385,36.1118,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.4645,0.0385,33.5723,19.8
 1.5,6.2881,0.0385,37.2181,19.8
 1.5,4.8541,0.0385,30.4967,19.8
 1.5,5.8141,0.0385,35.1831,19.8
 1.5,6.0917,0.0385,36.3942,19.8
 1.5,5.6921,0.0385,34.6323,19.8
 1.5,5.3073,0.0385,32.8143,19.8
 1.5,5.6129,0.0385,34.2681,19.8
 1.5,5.0822,0.0385,31.6892,19.8
 1.5,5.8986,0.0385,35.5576,19.8
 1.5,5.9225,0.0385,35.6624,19.8
 1.5,5.1444,0.0385,32.0049,19.8
 1.5,6.4106,0.0385,37.7191,19.8
 1.5,5.1239,0.0385,31.9012,19.8
 1.5,5.3111,0.0385,32.8331,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9972,0.0385,35.9882,19.8
 1.5,6.1847,0.0385,36.7874,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.6919,0.0385,34.6311,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.6741,0.0385,34.5499,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1951,0.0385,36.8313,19.8
 1.5,6.0001,0.0385,36.0006,19.8
 1.5,5.4357,0.0385,33.4354,19.8
 1.5,4.8061,0.0385,30.2385,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9798,0.0385,35.9128,19.8
 1.5,6.0934,0.0385,36.4012,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0138,0.0385,36.0598,19.8
 1.5,5.4032,0.0385,33.2794,19.8
 1.5,6.0375,0.0385,36.1618,19.8
 1.5,5.544,0.0385,33.9474,19.8
 1.5,6.4088,0.0385,37.7119,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9342,0.0385,35.7136,19.8
 1.5,6.1543,0.0385,36.6594,19.8
 1.5,6.0275,0.0385,36.1188,19.8
 1.5,6.0652,0.0385,36.2807,19.8
 1.5,5.3925,0.0385,33.2281,19.8
 1.5,4.8768,0.0385,30.6177,19.8
 1.5,5.7151,0.0385,34.737,19.8
 1.5,5.4395,0.0385,33.4533,19.8
 1.5,5.9697,0.0385,35.8686,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.8176,0.0385,30.3005,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.93,0.0385,35.6953,19.8
 1.5,5.962,0.0385,35.835,19.8
 1.5,6.1324,0.0385,36.5669,19.8
 1.5,5.8272,0.0385,35.2415,19.8
 1.5,6.2578,0.0385,37.0927,19.8
 1.5,6.1556,0.0385,36.6649,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0895,0.0385,31.7262,19.8
 1.5,5.3467,0.0385,33.0064,19.8
 1.5,4.9159,0.0385,30.8253,19.8
 1.5,5.0252,0.0385,31.3962,19.8
 1.5,5.3441,0.0385,32.994,19.8
 1.5,5.8563,0.0385,35.3707,19.8
 1.5,6.0597,0.0385,36.2573,19.8
 1.5,5.7105,0.0385,34.7161,19.8
 1.5,5.3157,0.0385,32.8557,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1323,0.0385,36.5664,19.8
 1.5,5.1955,0.0385,32.2618,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3864,0.0385,33.1986,19.8
 1.5,5.6689,0.0385,34.526,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1664,0.0385,36.7106,19.8
 1.5,5.6541,0.0385,34.4582,19.8
 1.5,5.5744,0.0385,34.0896,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0228,0.0385,36.0988,19.8
 1.5,6.3507,0.0385,37.4755,19.8
 1.5,5.3277,0.0385,32.9139,19.8
 1.5,6.2191,0.0385,36.9315,19.8
 1.5,5.5635,0.0385,34.0388,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5165,0.0385,33.8185,19.8
 1.5,5.964,0.0385,35.8437,19.8
 1.5,5.6423,0.0385,34.4041,19.8
 1.5,5.4842,0.0385,33.6659,19.8
 1.5,5.9768,0.0385,35.8994,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.1615,0.0385,32.0911,19.8
 1.5,5.2365,0.0385,32.4657,19.8
 1.5,5.4438,0.0385,33.474,19.8
 1.5,6.3126,0.0385,37.319,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.4276,0.0385,33.3964,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2407,0.0385,37.0216,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.2747,0.0385,32.6544,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.9414,0.0385,30.9594,19.8
 1.5,6.1742,0.0385,36.7435,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9422,0.0385,35.7488,19.8
 1.5,6.0992,0.0385,36.4259,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9711,0.0385,35.8747,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9828,0.0385,35.9257,19.8
 1.5,4.7584,0.0385,29.9792,19.8
 1.5,5.6518,0.0385,34.4479,19.8
 1.5,6.1478,0.0385,36.632,19.8
 1.5,6.2562,0.0385,37.0859,19.8
 1.5,6.2411,0.0385,37.0231,19.8
 1.5,4.9281,0.0385,30.8895,19.8
 1.5,6.1402,0.0385,36.5998,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.528,0.0385,33.8724,19.8
 1.5,5.6518,0.0385,34.4478,19.8
 1.5,6.4229,0.0385,37.769,19.8
 1.5,6.3184,0.0385,37.343,19.8
 1.5,5.4354,0.0385,33.4336,19.8
 1.5,5.7086,0.0385,34.7074,19.8
 1.5,4.6864,0.0385,29.5835,19.8
 1.5,6.1052,0.0385,36.4515,19.8
 1.5,6.1745,0.0385,36.7445,19.8
 1.5,6.2928,0.0385,37.2373,19.8
 1.5,6.1523,0.0385,36.6511,19.8
 1.5,5.6289,0.0385,34.3423,19.8
 1.5,6.3402,0.0385,37.4325,19.8
 1.5,6.3225,0.0385,37.3597,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3894,0.0385,37.6329,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9923,0.0385,35.9667,19.8
 1.5,5.6253,0.0385,34.3256,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3753,0.0385,37.5758,19.8
 1.5,5.8476,0.0385,35.3319,19.8
 1.5,5.3323,0.0385,32.9363,19.8
 1.5,6.3201,0.0385,37.3499,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5326,0.0385,33.8942,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0738,0.0385,36.3174,19.8
 1.5,5.7449,0.0385,34.8718,19.8
 3.0,3.0,0.0385,0.0,19.8
